Index,Title,Primary Subject,Secondary Subject,Inscription,Location,Date erected,Erected by,Notes,Count
141,Power and Transportation,Industry & Commerce,Railroads & Streetcars,"Detroit Edison sold electric home appliances from 1915 to 1983 in its showroom across the street. The earliest Ann Arbor homes were lit by fireplace flames and lard lamps. Oil, along with gas manufactured after 1858 from the burning of coal, lit most homes and streets until the arrival of electricity. Electric power came to Ann Arbor in 1884 when the Ann Arbor Van Depoele Light and Power Co. built a generating plant powered by coal-fired steam on Washington Street just west of the Ann Arbor Railroad. It provided safer, cleaner, and brighter power for 36 stores and residences and added 33 electric streetlights to the town's array of gas lampposts. For the next two decades, some areas continued to be lit by gas and many homes were equipped with both electric and gas lights in a combination fixture. After 1886 dams along the Huron River generated hydropower. In 1905 the Detroit Edison Company started buying water rights, mills, land, and existing small water power plants along the river in order to establish itself as the major supplier of electricity in Washtenaw County. Later it provided electric power for Ann Arbor's streetcars and interurbans. Barton Dam, built by Edison in 1912, was the first of six new hydroelectric dams. The power supplied was inadequate for the rapidly growing electricity needs of the area, so coal-powered plants elsewhere expanded to meet the demand. Edison's dams created ponds that provided recreation as well as a scenic area that became Barton Hills.","42° 16.685′ N, 83° 44.926′ W",N/A,Ann Arbor Historic District Commission,,1
142,The Power of Fleming Creek,Waterways & Vessels,Agriculture,"What is Hydropower? Hydropower uses the energy of falling water to do work, either to move machinery or generate electricity. Originally, a metal turbine underneath the gristmill harnessed the power of Fleming Creek. Water from the old millpond flowed through an underground channel into the mill, spinning the turbine blades. A main driveshaft transferred power from the turbine to a series of gears, shafts, pulleys and belts that operated the equipment in both mills. A simple turbine is illustrated here. In 1978, a flood destroyed the dam and millpond. Today, the mill still grinds corn thanks to the installation of an electric motor in 1985. Where did the Water Go? 1 Water from the millpond flowed into an underground channel called the ""headrace"". 2 Flowing water spun the turbine blades and generated power. 3 Water flowed into the ""tailrace"". 4 Water in the tailrace flowed back into Fleming Creek. The King of Turbines In 1924, Geddes Road was raised, widened and paved. At the same time, the Parkers raised the stone foundations of the mill buildings, replacing the original wooden-paddled tubwheel with a smaller, more efficient metal turbine. Fun Facts about Hydropower The Greeks were the first to use water power to grind grain around 19 B.C. Michael Faraday created the world's first hydroelectric generator in 1831. In 1880, Michigan's Grand Rapids Electric Light and Power Company was the first to combine a water wheel and a generator to produce hydroelectric power. Percentage of U.S. energy supplied by hydropower: 1907: 15%; 1920: 40%; 1940: 25%; 2000: about 7%.","42° 16.439′ N, 83° 40.04′ W",N/A,"Parker Mill County Park, Washtenaw County Parks and Recreation Commission",,1
143,The President's House,Education,Notable Buildings,"Completed in the summer of 1840, this stucco-over-brick house was one of four dwellings built for professors after relocation of the University to Ann Arbor in 1837. It has been the University's chief official residence and the center of social life on the campus since the presidency of Henry Phillip Tappan (1852-1863). Remodeled on several occasions, particularly during the adminstration of James Burrill Angell (1871-1909) when the third floor was added, the President's House has served as the site for entertaining American presidents; distinguished visitors; and the literary, musical, and artistic great of the world.","42° 16.504′ N, 83° 44.3′ W",1995,"History and Traditions Committee, University of Michigan",,1
144,The Professors' Monument,Education,Science & Medicine,"This cenotaph stands as a monument to the untimely deaths of four professors in the early years of the University of Michigan. It was erected in 1846 following the death of Joseph Whiting, Professor of Greek and Latin Languages. Panels were added following the deaths of Douglass Houghton, Professor of Chemistry, Mineralogy, and Geology, also in 1845; of Charles Fox, Professor of Agriculture, in 1854; and of Samuel Denton, Professor of the Theory and Practice of Medicine, in 1860. The broken column signifies a life cut short.","42° 16.556′ N, 83° 44.254′ W",1996,"History and Traditions Committee, University of Michigan",,1
145,Pump House,Agriculture,Notable Buildings,"The Pump House is the small, square, one-story structure. The two-story garage and apartment was attached to the Pump House when the garage and apartment were constructed in the 1950s. The well under the Pump House undoubtedly was hand-dug, and would have been one of the first improvements made to the farm. Until the 1950s, when electricity finally was brought to this structure, all water that was used on the farm was hand pumped and carried — including water for the farm animals.","42° 11.963′ N, 83° 44.44′ W",N/A,Pittsfield Township Historical Society,,1
146,Rackham School of Graduate Studies,Education,Architecture,"Horace H. and Mary A. Rackham, generous donors to the University of Michigan, established the Rackham Fund in 1933 “for the benefit of humanity.” Feeling that the graduate school offered possibilities of the most far-reaching benefits, the Rackham Fund in 1935 donated substantial funds to endow the graduate school, which had been founded in 1912, as well as funds to construct a building. At the time, it was the largest gift ever given in support of graduate education in the United States. Both the school and the building were named for Horace H. Rackham. Sited to be the northern terminus of Ingalls Mall, the building was completed in 1938. Designed by William E. Kapp of the Detroit firm of Smith Hinchman and Grylls, in an Art Deco interpretation of the classical style, it was constructed of Indiana limestone on a granite base, and features many decorative and richly colored details on the interior. The exterior features bas reliefs by noted sculptor Corrado Parducci.","42° 16.833′ N, 83° 44.305′ W",2006,"History and Traditions Committee, University of Michigan",,1
147,Redbud Grove,Parks & Recreational Areas,Horticulture & Forestry,Dedicated in memory of Ann Arbor Veterans of World War I,"42° 17.2′ N, 83° 44.077′ W",N/A,Elizabeth R. Dean Fund and other contributions,,1
148,Residential Life in mid-19th Century Ann Arbor,Architecture,Education,"In 1858 Main Street jeweler Joseph C. Watts built his large brick home on the northeast corner of Liberty and Division within easy walking distance of his Main Street shop. Multiple fireplaces, a roof-top widow's walk, and ornate trim in the fashionable Italianate style proclaimed his success. The earliest settlers and most prominent citizens built their houses near the center of town. At first, crude, dirt-floored log cabins were clustered near Huron and Main. Single-family frame, brick, and stucco dwellings rapidly spread east to what after 1837 became the University of Michigan campus. 

On the opposite corner to your right stands druggist Emanuel Mann’s 1850 house of brick covered with stucco scored to resemble stone.This style was so popular that Ann Arbor was referred to as “the little stucco village.” In 1829 Mann’s parents had been the first German family to settle in Ann Arbor. Next to the park is the 1853 Greek Revival home of Henry Dewitt Bennett, local postmaster and later secretary of the university. In 1970 the house became a city-owned museum honoring Reuben and Pauline Kempf. They bought the home in 1890 and taught piano and voice in the parlor for more than fifty years. 

The town's major churches were also part of the neighborhood. University students rented rooms and took meals in nearby homes. The neighborhood remained residential until after World War II, when its prime location between Main Street and campus led to its transformation to commercial uses.","42° 16.758′ N, 83° 44.658′ W",N/A,N/A,,1
149,Revolutionary War Patriot,"War, US Revolutionary",Settlements & Settlers,"Benjamin Woodruff was born on November 26, 1744, in Hanover Township, Morris County, New Jersey. He enlisted at age 32 and first served in 1776 as a drummer. He later served as a Sergeant in the Morris County, New Jersey Militia where he fought in the battles of Elizabethtown and Springfield and in a skirmish at Acquackanonk. Sergeant Woodruff served honorably for more than two years. He lived in Pittsfield Township and died shortly before his 93rd birthday on October 18, 1837.


Josiah Cutler was born on September 1, 1761, in Brookfield, Worcester County, Massachusetts. At age 17 he began his service, enlisting four times, beginning in January 1778. He was a private in the 2nd, 12th, and the 14th Massachusetts Regiments. He fought in the Battle of Kings Bridge and was at Yorktown, Virginia, under the command of General Lafayette at the storming of Redoubt 10 which led to the British surrender. Corporal Josiah Cutler was honorably discharged from the Second Massachusetts Regiment on January 4, 1784. He moved from Vermont to Michigan in April 1840 where he lived with his daughter in Washtenaw County. He died at age 78 on June 24, 1840.","42° 16.666′ N, 83° 43.812′ W",N/A,"NSSAR George Washington Endowment Fund, MISSAR, NSDAR",,1
150,Riverbank Rescue,Parks & Recreational Areas,Education,"The Problem The river front is a much loved aspect of the Arboretum. But there was trouble in paradise. Heavy use, lack of vegetation, concrete and the natural flow of the river all contributed to severe degradation of the banks. Without a stable bank, and without vegetation to hold the bank, soil and debris washed into the river. Attempts were made to stabilize the bank, but concrete placed on the shore in the 1970's was not an adequate solution and plantings had little soil for any significant growth. The Collaboration What you see is the result of a fresh approach to collaboration. In part, the project served as a demonstration project in Washtenaw County by the Southeast Michigan Resource and Development Council. The entire project, completed in the summer of 2006, engaged county and city agencies, private design firms, non-governmental organizations, the University of Michigan, public and private funding, and the expertise and efforts of volunteers. The Plan & Plants Did you know some plants can form roots just from a stem cutting? Roots form at the buried buds on the stems. Cuttings of red osier dogwood, willow, elderberry, ninebark and highbush-cranberry were used in this project. Collaborators and contributors: Southeast Michigan Resource Conservation and Development Council, City of Ann Arbor, Washtenaw County Road Commission, Michigan Department of Environmental Quality, The Huron River Watershed Council, Washtenaw County Drain Commission, University of Michigan Occupational Safety and Environmental Health, Washtenaw County Conservation District, Washtenaw County Environmental Health Department, United States Department of Agriculture. Design: Environmental Consulting and Technology","42° 16.982′ N, 83° 43.212′ W",2006,University of Michigan Matthaei Botanical Gardens and Nichols Arboretum,,1
151,Robert Brackett Memorial,Education,Fraternal or Sororal Organizations,In Memory Of Professor Robert D. Brackett National Director And Founder Of Sigma Rho Tau 1966,"42° 16.574′ N, 83° 44.335′ W",1966,N/A,,1
152,St. Andrew’s Episcopal Church,Churches & Religion,Architecture,"St. Andrew’s Episcopal Church had been organized by the spring of 1828. It incorporated under an act of the Territory of Michigan in 1833. One year later the congregation bought land on this site from newspaper editor George Corselius for $105. The first church, a small wooden structure, was consecrated in 1838 and enlarged in 1856. St. Andrew’s hired architect Gordon W. Lloyd to design this Gothic Revival church. His design was built in stages: the sanctuary was completed in 1869; the chapel and a rectory called Tatlock Hall, in 1881; and the church tower, in 1903. Tiles made by Pewabic Pottery were added to the interior floor in 1914. The cloister was added in 1932. St. Andrew’s is Ann Arbor’s oldest church building in continuous use and has earned state and local preservation awards. The church helped establish nearby Episcopal churches and founded the Shelter Association of Washtenaw County in 1982 to house homeless individuals.","42° 16.997′ N, 83° 44.619′ W",2020,Michigan Historical Commission - Michigan History Center,,1
153,St. John's Evangelical Lutheran Church,Churches & Religion,Settlements & Settlers,"In 1869 German settlers, led by the Reverend Frederick Schmid, organized the first Lutheran congregation in Northfield Township. The original church on the site was dedicated in 1874. On March 13, 1932, the church and parsonage were destroyed by fire. The present church and parsonage were dedicated that year.","42° 21.585′ N, 83° 42.213′ W",N/A,Washtenaw County Historic District Commission.,,1
154,St. Patrick's Church,Churches & Religion,,"Catholicism in Northfield Township dates from the early nineteenth century. In 1829 Father Patrick O’Kelly, a native of Kilkenny, Ireland, was sent to the area to minister to the Irish Catholics who were settling in southwestern Michigan. The first parish church, a log structure, was completed on this site in 1831. Originally named St. Brigid, this is the oldest English-speaking Catholic parish in the state. The present Gothic Revival-style church was completed and dedicated in 1878. The parish was renamed St. Patrick’s at that time. The rectory was completed in 1890. In 1917 the church and rectory were badly damaged by a cyclone; however, both were rebuilt in subsequent years. Serving the area for 150 years, the parish continues to reach out to the needs of the surrounding community.","42° 21.47′ N, 83° 45.066′ W",1992,"Michigan History Division, Department of State. (Marker Number S494.)",,1
155,St. Patrick's Civil War Memorial,"War, US Civil",Churches & Religion,Civil War Veterans 1861 - 1865 William W. Boyle Daniel Donovan Patrick Leanord James W. Mead Maurice O'Conner Patrick H. O'Connor James Sage John Shannon James W. Tobin Michael Trainor James Welch John O'Connor James Kain,"42° 21.53′ N, 83° 44.994′ W",N/A,N/A,,1
156,St. Thomas the Apostle Church,Churches & Religion,Education,"In 1831 Father Patrick O'Kelly came from Detroit to minister to the Irish Catholics in the Washtenaw area. He offered his first mass in Ann Arbor on July 12, 1835, in a home located on land bounded by Detroit, Kingsley and Fifth Streets. St. Thomas parish took more permanent form in 1840, when under the leadership of Father Thomas Cullen it purchased land on Kingsley Street near Division Street and built Ann Arbor's first brick church. It established a parochial school in 1868. The church site was purchased in 1883. The present church, begun in 1896 under Father Edward D. Kelly, was dedicated in 1899. Its granite field stone and Bailey bluestone were donated and hauled to the site by parishioners and area farmers. The first hospital to serve the community and two additional Ann Arbor Catholic parishes emerged from St. Thomas parish.","42° 17.087′ N, 83° 44.498′ W",1985,"Bureau of History, Michigan Department of State. (Marker Number L1181.)",,1
157,Samuel Denton,Education,Settlements & Settlers,"Professor of Medicine in the University of Michigan for ten years from 1850. He taught Pathology and the Theory and Practice of Medicine. Born July 2, 1803, at Vallkill, New York, he studied medicine at Castleton, Vermont where he received the M.D. degree in 1825 and came to Ann Arbor. He was elected to the state senate and the overnor appointed him Regent of the University, an office he held for four years. He died on August 17, 1860. With the calm faith of a Christian, he departed into the peace of the dead.","42° 16.563′ N, 83° 44.257′ W",N/A,N/A,,1
158,Schools and Churches,Churches & Religion,Education,"Ann Arbor public school, begun in the 1830s, were inadequately funded and poorly organized. This changed in 1856 when the Union School opened (building on right); it was the grandest building in Ann Arbor. Its assembly room, seating 700, was often used for public events. Classes prepared students to enter the nearby university. Nonresidents, who paid tuition, made up more than half the enrollment. 

Religious and private schools also were available. In the nineteenth century most of Ann Arbor's churches were nearby. They established reading rooms, social centers, and lectures to attract university students. The 1882 First Unitarian Church (across State Street to your left) had a social hall and reading room. Directly behind you, the Episcopalians built Harris Hall in 1886 for students to meet ""under the refining and elevating influence of the Church's social life."" A later pastor said their goal was ""to intercept students on their way to Joe's and the Orient,"" two Main Street saloons famous in Michigan student tradition where ""the minds and habits of the young should not be formed."" Nearer campus on State Street, the Student Christian Association built Newberry Hall (later the Kelsey Museum) in 1891 and then Lane Hall in 1915 for student social and religious activities.","42° 16.88′ N, 83° 44.459′ W",N/A,Ann Arbor Historical Foundation,,1
159,Schools In Lower Town,Churches & Religion,Education,"Early Settlers in Lower Town had large families. Good schools were a part of their New England expectations. Both private and public schools were maintained at several temporary Lower Town locations.
In the 1830s the Misses Azuba and Elizabeth Vail taught private classes in the basement of their residence at the end of Maiden Lane at what would now be 1030 Broadway. In 1838 Baptist Rev. Thomas Holmes taught pupils in a private school in the small church meeting house on Wall Street. The first public schoolhouse in Lower Town was erected about 1837 on Maiden Lane.
By late 1841 Rev. Holmes taught at a second public school at 1202 Traver-the oldest school building still Standing in Ann Arbor. Abolitionists Josiah Beckley and William Perry were two of its early directors. The two school districts combined in 1855 to become the Union School on Wall Street. Union became the Fifth Ward School when Lower Town finally became a part of the city in 1861
School teaching was no easy job in the 1890s. D Miss Anna Clinton, who taught for forty-seven years, was twenty when she started teaching at the Fifth Ward School.
She got the first salaried teaching position by virtue of the fact that her predecessor was knocked down by one of the husky fellows in the first grade and refused to teach again at that school.
Miss Clinton described the Fifth Ward School as being entered from Wall Street through a vestibule, which served as cloakroom for thetwo lower rooms. In one corner stood the bucket and dipper from which everyone drank. On either side of the vestibule were tow large classrooms. A handsome staircase led up to two more classrooms. Six grades were housed in the school.
Miss clinton's room had a small amount of storage space which held ink and paper, supplied by the school, and craft material, supplied by the teacher. The room was heated by a large stove that frequently went out.
There was no basement under Miss clinton's room-only a crawl space filled with green scum-covered water in summer and iced over in winter. Antoher unappealing feature of the school was its proximity to the slaughterhouses on the river. Miss Clinton said that twice during the fall the slaughterhouse flies migrated to the school in such numbers that it was necessary to close school and exterminate them. Those were the days when Canal Street behind the school was known as ""Shinbone ""Alley.""
Christmas was celebrated by the children and their parents in the frame one-story Baptist church across A spring exhibition was held in the classroom and the year's projects were displayed. Miss Clinton praised the fine cooperative spirit of the Fifth Ward parents during all the years in which she worked with them.
The Donovan School, although the smallest school building in the district, had a large attendance. It had no auditorium and no real gymnasium, and the principal's office was crowded into a cloakroom. To compensate, a strong teacher-student-parent cooperation was established that resulted in a close relationship between learning and doing.
Since The Donovan School could not foster an adequate athletic program, it developed other means of holding the loyalty and affection of the children. This was accomplished through plays and public performances (known throughout the city for their quality), the Donovan News, group projects, parent-teacher programs, and famed circuses staged for several successive springs on Mrs. Elizabethe Leaird Slack's lawn on Broadway.","42° 17.277′ N, 83° 44.111′ W",2014,Ann Arbor Historical Foundation,,1
160,A Second Shopping District,Industry & Commerce,Settlements & Settlers,"Town and gown came together on State Street after 1870 to create Ann Arbor's second shopping district. Grocers, barbers, and tailors served both communities, while billiard parlors, dining halls, bathhouses, and bookstores catered to the growing student population. John Nickels Meat Market, added to the front of his home, was one of the early commercial buildings transforming the neighborhood. After 1890 the streetcar linked Main Street and campus, and several downtown businesses added branches here. 

J. J. Quarry opened a drugstore in his new building at State and North University in 1898. It specialized in supplies for nearby university hospitals and the medical and dental schools, as well as the offices of doctors and dentists over neighboring shops. 

James Foster's House of Art, which opened in 1906 featuring Arts and Crafts gifts, drew an affluent and sophisticated clientele to State Street. In 1915 Tom Nickels replaced his father's meat market with the city's first shopping arcade. The terra-cotta building's bank, luxury shops, and post office branch symbolized State Street's twentieth-century identity as a fashionable shopping destination. That market was challenged in the 1960s by shopping malls, the lifting of UM's ban on cars for undergraduates, and changing tastes of the Vietnam War era. By the end of the century, chain stores, coffeehouses, restaurants, and sportswear shops replaced many older businesses. Books and music remained staples: Tome and Louis Borders opened their first bookstore here in 1971.","42° 16.701′ N, 83° 44.435′ W",N/A,Ann Arbor Historical Foundation,,1
161,Shagbark Hickory,Horticulture & Forestry,Industry & Commerce,"Mighty Tough 
• The National Forest Service's manual of native trees states that ""no commercial species of wood is equal to it in combined strength, toughness, hardness, and stiffness."" 

• The wood is excellent for burning and is used to flavor foods like hickory-smoked bacon. 

• Look for three other shagbark hickories growing nearby: across the adjacent path and along the Huron River. 


A Gift of Cherry Trees 
Also in 1952, U-M President Harlan H. Hatcher received a gift of 182 flowering cherry trees. 

The Japanese ambassador Eikichi Araki presented the trees to the University of Michigan on behalf of the people of Japan and U-M alumni living in Tokyo. This cherry tree is one of very few that survive from over a half century ago.","42° 16.975′ N, 83° 43.209′ W",2017,"Matthaei Botanical Gardens and Nichols Arboretum, University of Michigan",,1
162,Shopping on East Huron Street,Architecture,Industry & Commerce,"Advertising signs and cards display the wide variety of goods offered in the 1870s by the businesses pictured above. The plank sidewalk, gas lanterns, and dirt road have long since been replaced by concrete, bright lights, and blacktop. All the buildings east to Fourth Ave., including the imposing Cook House Hotel, are gone. 

But in the block beyond, some remain behind facades that reflect changing needs and styles over time. The brick building on the corner of East Huron St. and South Fourth Ave. where Caspar Rinsey sold groceries has long been hidden behind painted aluminum siding.","42° 16.936′ N, 83° 44.897′ W",N/A,Ann Arbor Historical Foundation,,1
163,Simpson Memorial Institute,Education,Architecture,"The Thomas Henry Simpson Memorial Institute for Medical Research combined medical research and patient care activities, provided research experience for medical and postgraduate students, direct care to its patients on the third floor, and consultant services to patients at the University Hospital. Among its contributions were the development of a new agent for the treatment of pernicious anemia, the isolation of vitamin B-12, improved understanding of the use of blood and blood substitutes in the treatment of shock, and insight into the causes and treatments of leukemia and other neoplastic diseases of the blood. A gift to the University by Catherine MacDonald Simpson as a memorial to her husband, a Detroit industrialist who died of pernicious anemia, the building, designed by Albert Kahn, now serves the Department of Internal Medicine and the Historical Center for the Health Sciences in their research activities. Medical School Sesqucentennial 2000","42° 16.908′ N, 83° 43.858′ W",2000,N/A,,1
164,Social and Political Change on South University,Education,Notable Events,"When local merchants began the Ann Arbor Art Fair in July 1960, South University catered to both townspeople and students. During 40 years of social and political change, the fair grew into a city-wide extravaganza. In the twentieth century, as fraternities, sororities, dormitories, and student rooms concentrated nearby, South University had become a focus of student activity. At this corner in the 1950s and 1960s you could have seen homecoming parades or panty raiders shouting ""To the hill!"" (women's dorms), in the 1980s a basketball riot, and the 1990s the Naked Mile. Political activities as well as pranks have always been a part of student life. Earlier students, fueled by alcohol, youth, and boredom, had torn up the town's wooden sidewalks for bonfires, disabled trolley cars, and shouted down presidential candidate William Jennings Bryan. They vigorously debated abolition, temperance, wars, and women's suffrage. During the Vietnam War, Ann Arbor became a center of the nationwide social and political firestorm. Students for a Democratic Society (SDS) and peace teach-ins originated at UM. Those turbulent years began with civil rights picketing, intensified with antiwar protests, White Panthers, Black Action Movement strikes, and demonstrations for women's liberation and gay rights. ""Make love not war!""and ""Power to the people!"" affronted middle-class values and expressed the new rebellious spirit that led to hippies, the sexual revolution, and the Hash Bash.","42° 16.504′ N, 83° 44.152′ W",N/A,Ann Arbor Historic District Commission and South University Area Association,,1
165,South University and Forest Avenues,Education,Architecture,"Blaich's grocery, added to an old house on this site in 1895, was the first commercial building on South University. Forty years later, as Miller's, it was a popular place to enjoy ice cream. sodas, and sandwiches. The old wooden building was demolished in 1964 to make way for University Towers. Miller's reopened here in the new building. Centicore, a bookstore identified with the rebellious spirit of the sixties, opened next to it. Miller's closed in 1985-like the Food Mart down the street, a victim of rapidly rising rents that would force out many other local businesses. The Campus Theater was replaced by a mini-mall and the street's last gas station by a two-story commercial building. In 2006 new zoning encouraging high-density commercial and residential development was adopted to reinvigorate South University. Within months, the city approved a ten story apartment building to replace the historic 1923 Anberay Apartments on East University.","42° 16.506′ N, 83° 44.022′ W",N/A,Ann Arbor Historical Foundation,,1
166,Spanish-American War Memorial,"War, Spanish-American",,Erected In Honor Of The U of M Men Who Fought In The War Against Spain Class of ’99,"42° 16.557′ N, 83° 44.347′ W",1899,"Class of 1899, University of Michigan",,1
167,The Staeblers and the Germania/American Hotel,Architecture,Industry & Commerce,"In 1885 Michael Staebler, a successful farmer from a pioneer German family west of town, constructed this building as the Germania Hotel. Balls, lectures, musical programs, and meetings of the Germania Society were held on the third floor. Staebler later added a fourth story and renamed the building the American Hotel. He set his sons up in business. Albert managed the hotel and Edward ran a bicycle shop and coal business. The large box shown above in front of the store displayed different grades of coal. A third son, Fred, ran a grocery store across the street. Next door to the hotel, Heinzman and Son offered cash to local farmers for hides and furs.","42° 16.826′ N, 83° 44.982′ W",N/A,Ann Arbor Historical Foundation,,1
168,The Streets Around Courthouse Square,Settlements & Settlers,Industry & Commerce,"For over one hundred years the streets surrounding Courthouse Square were a focus for busy Ann Arbor life. Most structures that housed the many businesses and activities around the square are gone. No photo exists of Miss Monroe's primary schoolhouse, a crude log building with small glass windows and split log benches. It stood behind you on the northwest corner of Main and Ann streets from 1825 to 1829, at a time when the square served as town founder John Allen's vegetable patch and members of the Potawatomi tribe traded berries in town. Mary Foster, Ann Arbor's first female lawyer, graduated from the University of Michigan in 1876 and ranked high among the profession.","42° 16.936′ N, 83° 44.896′ W",N/A,Ann Arbor Historical Foundation,Mentions Native Americans,1
169,A Supply Side of Town,Industry & Commerce,Railroads & Streetcars,"By the 1880s the area between downtown and the railroad along the Huron River supplied lumber, carts, carriages, stone work, coal, oil, and gas. Agricultural Hall, built in 1856, served multiple industrial, civic, and commercial functions before neighborhood industry declined by the 1920s.","42° 16.987′ N, 83° 44.816′W",2023,Historical Marker Database,,1
170,Sutherland–Wilson Farm,Agriculture,Settlements & Settlers,"Established by Langford and Lydia Sutherland in 1832, the farm operated for more than 150 years, producing crops and livestock. Most of the land was later sold for development, while the remaining acreage became a preserved historic farm museum.","42° 11.995′ N, 83° 44.442′ W",2014,Michigan Historical Commission,,1
171,Tappan Hall,Education,Architecture,"Completed in 1894 and named after university president Henry Philip Tappan, this building has housed multiple academic departments and remains the oldest extant classroom building on the University of Michigan campus.","42° 16.533′ N, 83° 44.366′W",1999,University of Michigan History and Traditions Committee,,1
172,Terhune Memorial Park,Churches & Religion,Settlements & Settlers,"Terhune Memorial Park preserves gravestones moved in the 1920s from an earlier cemetery. It commemorates Revolutionary War patriot Ensign John Terhune, his wife Sarah Vreeland Terhune, and pioneer child Emily Whitmore, reflecting early American patriotism, migration to Michigan Territory, and local memory practices.","42° 14.791′ N, 83° 41.178′ W",Unknown (1920s relocation; marker date not specified),Daughters of the American Revolution,,1
173,Thomas Church / Saint Thomas Cemetery,Churches & Religion,Settlements & Settlers,"Founded by German immigrants associated with the Basel Mission Institute, Thomas Church and Saint Thomas Cemetery illustrate early German settlement in the Ann Arbor area. The church and cemetery, established in 1844, preserve German-language worship traditions and distinctive nineteenth-century funerary art.","42° 13.523′ N, 83° 55.511′ W",1994,"Michigan Historical Center, Michigan Department of State",,1
174,Three Generations of Metzgers on Washington Street,Industry & Commerce,Settlements & Settlers,"This marker documents the Metzger family’s German restaurants, founded in 1928, which served Ann Arbor residents across generations. The businesses reflect immigrant entrepreneurship, cultural adaptation during World War II, and the role of family-run restaurants in the city’s social life.","42° 16.849′ N, 83° 44.98′ W",N/A,Ann Arbor Historical Foundation,,1
175,Ticknor-Campbell House,Architecture,Settlements & Settlers,"In 1844 Dr. Benjamin Ticknor built this Classic Revival cobblestone house on his Pittsfield Township farm, with an older 1835 frame wing first occupied by his brother Heman. After Ticknor’s death in 1858, his medical and classical library went to the University of Michigan. In 1881 educator William Campbell bought the property; farming continued here until 1955. The City of Ann Arbor purchased the house in 1972 as a pioneer farm museum, and it was later placed on national and Michigan historic registers.","42° 14.696′ N, 83° 42.638′ W",1981,"Michigan History Division, Department of State",,1
176,Town and Gown: Entertainment and Changing Culture,Entertainment,Education,"Ann Arbor’s cultural identity grew from “town and gown” entertainment traditions, from 19th‑century performances in ballrooms, churches, and halls to purpose-built venues such as Hill’s Opera House (1871) and University Hall’s auditorium (cornerstone laid 1871). The Michigan Theater (opened 1928) and Lydia Mendelssohn Theatre (1929) expanded shared cultural life, while organizations like the Ann Arbor Symphony, Civic Theater, and UM groups sustained the tradition through the 20th century; the 1954 Michigras parade symbolizes this ongoing civic–university connection.","42° 16.761′ N, 83° 44.443′ W",N/A,Ann Arbor Historical Foundation,,1
177,"Transportation, Electric Power, and Gas",Railroads & Streetcars,Industry & Commerce,"Lower Town’s late‑19th‑century prosperity was shaped by mills, factories, and rail connections across the Huron River, including trestles rebuilt after failures and disasters. In the early 1900s, the closure of the Agricultural Works, the 1904 Argo Mills fire, and rail accidents marked instability, followed by industrial reorganization and infrastructure upgrades. The district then shifted toward electric power generation along the river as Edison interests consolidated water rights and built hydro dams (beginning with Barton Dam in 1912), helping supply electricity for the region and streetcar/interurban systems, before later university-driven redevelopment needs emerged.","42° 17.285′ N, 83° 44.124′ W",2014,University of Michigan,,1
178,The Underground Railroad,African Americans,Settlements & Settlers,"Rev. Guy Beckley served as a “conductor” on the Underground Railroad, using his home near Pontiac Trail as a secret station; freedom seeker Caroline Quarlls stayed with him en route to Canada. Ann Arbor’s anti-slavery organizing included the founding of the Michigan Anti‑Slavery Society in 1836 and publication of its newspaper, The Signal of Liberty, starting in 1841 from the Huron Block across Broadway. The marker also highlights long-standing African American community presence and advocacy, including delegates to the 1843 state convention of colored citizens and the integration of Ann Arbor schools.","42° 17.351′ N, 83° 44.373′ W",N/A,Carol and Robert Mull,,1
179,The University Expands,Education,Architecture,"Beginning in the early 20th century, the university’s northward expansion replaced a neighborhood of large homes with major cultural facilities. Hill Auditorium (1913), donated by Regent Arthur Hill and designed by Albert Kahn, anchored a growing arts and performance district, followed by landmarks such as the Michigan League (1929), Burton Tower (1936), Rackham (1938), and the Power Center (1971), funded largely through private giving. The marker emphasizes how fundraising networks—especially women students and alumnae—helped build key institutional spaces and how coeducation contributed to campus growth.","42° 16.707′ N, 83° 44.426′ W",N/A,Ann Arbor Historical Foundation,,1
180,University of Michigan Campus 1907,Education,Architecture,"By the end of President James B. Angell’s long tenure, prominent buildings lined State Street, reflecting the university’s rapid growth and changing campus image. The marker references key facilities and designs from this period—law, museums, memorial halls, libraries, hospitals, and scientific infrastructure—while noting that only a small subset of Angell-era buildings remained by the late 20th/early 21st century. Together the images frame campus development as an evolving institutional landscape shaped by expansion, replacement, and preservation.","42° 16.541′ N, 83° 44.451′ W",N/A,Ann Arbor Historical Foundation,,1
181,The University of Michigan Men's Glee Club,"Arts, Letters, Music",,"Founded in 1859, the University of Michigan Men’s Glee Club is described as the oldest student‑run organization at UM and the second‑oldest collegiate glee club in the United States. The plaque, placed near Hill Auditorium (a long‑time home venue), commemorates 150 years of musical tradition, camaraderie, and choral achievement.","42° 16.741′ N, 83° 44.307′ W",2009,N/A,,1
182,Upper Level of the Barn,Agriculture,Notable Buildings,"The marker explains how the barn’s upper level functioned within the farm’s spatial organization: the upper portion stored straw and hay, supported threshing of oats/wheat, and held key equipment, with areas likely used for grain storage. It also describes the adjacent Barn Yard system of animal shelters (hog house, sheep shed, stables/chicken coop, lower barn for cows/cattle) and the fence, gate, and shared water trough connecting Farm Yard and Barn Yard circulation.","42° 11.937′ N, 83° 44.442′ W",N/A,Pittsfield Township Historical Society,,1
